vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_location_id,dropoff_location_id,fare_amount
4,2019-02-27 23:00:33,2019-02-27 23:12:24,1,141,260,14.0
2,2019-02-04 14:57:52,2019-02-04 15:22:24,6,132,154,38.0
1,2019-02-25 18:56:31,2019-02-25 19:00:54,1,170,164,5.0
2,2019-02-01 14:13:50,2019-02-01 14:36:18,2,234,138,26.5
2,2019-02-05 09:01:06,2019-02-05 09:03:43,1,233,229,4.0
2,2019-02-14 18:24:02,2019-02-14 18:31:38,2,143,163,7.0
2,2019-02-01 09:33:20,2019-02-01 09:39:35,1,262,140,6.0
2,2019-02-09 04:27:37,2019-02-09 04:32:34,2,256,17,6.0
1,2019-02-06 21:38:59,2019-02-06 21:49:21,1,162,48,8.5
1,2019-02-14 21:30:27,2019-02-14 21:54:08,1,10,86,34.5
2,2019-02-24 08:57:59,2019-02-24 09:05:14,5,236,170,8.5
2,2019-02-04 22:31:44,2019-02-04 23:09:42,1,132,261,52.0
2,2019-02-27 13:01:06,2019-02-27 13:06:06,1,162,229,5.0
2,2019-02-03 10:30:38,2019-02-03 10:43:18,1,246,234,10.5
1,2019-02-04 07:12:36,2019-02-04 07:19:01,1,90,230,7.0
1,2019-02-12 09:57:20,2019-02-12 10:06:14,1,158,90,7.5
2,2019-02-03 14:51:38,2019-02-03 14:55:48,1,238,151,4.5
2,2019-02-27 12:15:48,2019-02-27 12:20:57,3,43,238,6.0
1,2019-02-15 23:16:32,2019-02-15 23:28:31,4,246,163,10.0
2,2019-02-26 09:22:34,2019-02-26 09:49:14,2,143,231,20.5
2,2019-02-03 04:02:34,2019-02-03 04:21:02,1,79,50,15.5
2,2019-02-08 10:30:49,2019-02-08 10:41:17,2,236,162,9.0
1,2019-02-23 22:13:30,2019-02-23 22:31:47,1,161,141,14.0
2,2019-02-08 20:16:06,2019-02-08 20:18:37,1,43,236,4.5
2,2019-02-04 13:56:02,2019-02-04 14:31:36,2,132,256,45.5
1,2019-02-23 00:45:36,2019-02-23 00:56:36,1,164,79,9.0
1,2019-02-08 19:54:54,2019-02-08 19:57:13,1,48,48,3.5
2,2019-02-01 17:53:00,2019-02-01 17:53:39,1,261,261,40.88
1,2019-02-11 11:35:28,2019-02-11 11:53:10,1,142,237,12.0
1,2019-02-05 07:51:13,2019-02-05 07:52:25,1,79,79,3.5
1,2019-02-18 21:04:36,2019-02-18 21:10:56,3,125,249,6.0
2,2019-02-25 20:08:51,2019-02-25 20:25:09,2,249,14,24.5
2,2019-02-25 14:48:15,2019-02-25 15:14:40,1,138,186,30.0
2,2019-02-14 09:21:50,2019-02-14 09:30:43,5,161,141,7.5
2,2019-02-23 20:02:55,2019-02-23 20:11:03,1,249,113,6.5
2,2019-02-13 16:38:50,2019-02-13 16:55:07,2,163,107,11.0
1,2019-02-23 04:36:13,2019-02-23 04:38:58,1,209,66,6.0
2,2019-02-24 14:13:53,2019-02-24 14:28:23,2,237,230,10.0
1,2019-02-07 08:51:17,2019-02-07 09:34:03,1,132,223,41.5
1,2019-02-25 09:50:26,2019-02-25 10:06:55,0,186,164,10.5
2,2019-02-28 10:18:42,2019-02-28 10:42:45,1,50,43,16.0
2,2019-02-09 17:26:01,2019-02-09 17:33:56,2,236,238,7.5
1,2019-02-26 18:01:59,2019-02-26 18:07:06,1,246,50,5.0
1,2019-02-15 17:19:25,2019-02-15 17:32:17,1,162,43,10.0
2,2019-02-05 11:04:10,2019-02-05 11:22:43,1,239,161,13.5
2,2019-02-03 01:09:23,2019-02-03 01:22:16,1,237,151,12.5
2,2019-02-16 00:24:21,2019-02-16 00:50:50,1,125,148,15.5
1,2019-02-03 18:05:19,2019-02-03 18:10:54,1,263,141,5.5
2,2019-02-20 15:26:41,2019-02-20 15:40:51,2,90,48,9.5
2,2019-02-09 08:28:55,2019-02-09 08:42:37,5,13,140,21.5
2,2019-02-28 22:14:05,2019-02-28 22:25:27,1,162,236,10.5
1,2019-02-12 19:00:12,2019-02-12 19:17:41,1,141,143,12.5
2,2019-02-21 18:30:07,2019-02-22 18:08:59,3,236,151,10.5
2,2019-02-24 14:18:53,2019-02-24 14:47:11,5,107,143,19.5
2,2019-02-20 22:00:15,2019-02-20 22:07:29,1,137,141,9.0
1,2019-02-10 10:38:07,2019-02-10 10:52:01,1,263,238,11.0
2,2019-02-19 00:29:10,2019-02-19 00:39:31,4,151,142,10.0
2,2019-02-22 14:43:35,2019-02-22 15:08:31,1,138,135,20.5
1,2019-02-22 21:08:13,2019-02-22 21:20:50,0,13,68,13.5
1,2019-02-04 09:54:49,2019-02-04 10:02:30,1,237,236,7.0
1,2019-02-04 16:27:00,2019-02-04 16:35:22,0,161,170,7.0
1,2019-02-02 09:44:56,2019-02-02 09:59:14,1,234,142,13.5
2,2019-02-01 22:44:12,2019-02-01 22:48:24,2,164,234,5.0
1,2019-02-07 18:21:10,2019-02-07 18:27:37,1,24,41,6.5
2,2019-02-01 22:11:09,2019-02-01 22:16:05,3,263,237,5.5
1,2019-02-09 08:45:29,2019-02-09 08:52:29,1,170,186,6.5
2,2019-02-08 12:30:53,2019-02-08 12:35:51,1,107,137,5.0
2,2019-02-09 14:00:36,2019-02-09 14:33:34,1,153,162,35.34
2,2019-02-07 07:40:44,2019-02-07 08:36:03,1,138,13,46.5
1,2019-02-14 08:08:24,2019-02-14 08:19:05,1,113,170,8.5
2,2019-02-23 08:48:28,2019-02-23 08:55:46,2,79,234,7.5
1,2019-02-23 16:52:01,2019-02-23 16:55:24,0,79,224,4.5
1,2019-02-05 05:33:35,2019-02-05 05:36:10,0,48,161,4.5
4,2019-02-04 18:08:15,2019-02-04 18:17:14,0,161,186,7.5
1,2019-02-01 00:21:42,2019-02-01 00:48:19,0,186,226,21.0
1,2019-02-26 17:20:02,2019-02-26 17:30:05,0,113,107,8.0
1,2019-02-27 00:16:16,2019-02-27 00:17:44,0,100,170,3.5
2,2019-02-28 13:29:02,2019-02-28 13:43:26,0,161,48,10.0
2,2019-02-26 20:33:24,2019-02-26 20:47:43,0,107,231,11.0
2,2019-02-04 20:39:10,2019-02-04 20:47:52,0,209,4,11.0
2,2019-02-24 14:02:23,2019-02-24 14:03:21,0,230,230,-3.0
2,2019-02-02 20:43:29,2019-02-02 20:56:10,0,50,249,11.0
1,2019-02-02 11:31:38,2019-02-02 11:47:01,0,41,238,11.5
2,2019-02-26 09:47:38,2019-02-26 10:27:26,0,239,162,24.5
2,2019-02-20 13:37:13,2019-02-20 13:39:15,0,52,33,3.5
1,2019-02-12 18:22:49,2019-02-12 18:31:15,0,107,224,7.0
1,2019-02-02 09:58:56,2019-02-02 10:01:25,0,264,264,4.5
2,2019-02-01 22:32:02,2019-02-01 23:17:38,0,261,219,54.0
2,2019-02-27 10:01:18,2019-02-27 10:12:54,0,88,209,8.0
1,2019-02-03 18:36:59,2019-02-03 18:43:01,0,42,42,6.0
2,2019-02-11 06:43:39,2019-02-11 06:49:07,0,43,239,6.5
1,2019-02-26 13:53:49,2019-02-26 14:10:33,0,264,161,11.5
2,2019-02-21 07:42:35,2019-02-21 07:46:05,0,170,161,4.5
1,2019-02-26 19:26:08,2019-02-26 19:55:01,0,162,33,24.0
1,2019-02-27 14:47:38,2019-02-27 15:07:44,0,140,143,13.5
2,2019-02-01 06:23:35,2019-02-01 06:27:00,0,145,162,5.0
1,2019-02-25 21:40:51,2019-02-25 21:48:34,0,237,163,6.5
2,2019-02-15 09:02:32,2019-02-15 09:05:41,0,239,142,4.0
2,2019-02-06 17:40:38,2019-02-06 17:57:57,0,13,234,14.0
1,2019-02-07 12:15:38,2019-02-07 12:35:10,0,170,237,12.5
2,2019-02-14 19:06:57,2019-02-14 19:19:54,0,48,238,10.5
1,2019-02-28 07:15:33,2019-02-28 07:26:02,0,140,142,9.5
2,2019-02-06 07:25:11,2019-02-06 07:29:06,0,262,141,5.0
1,2019-02-21 22:17:50,2019-02-21 22:34:23,1,113,229,13.0
2,2019-02-07 08:41:15,2019-02-07 09:57:58,1,132,45,52.0
2,2019-02-08 22:06:23,2019-02-08 22:07:52,2,24,151,3.5
2,2019-02-09 13:19:24,2019-02-09 13:30:52,2,239,236,9.0
1,2019-02-05 07:12:46,2019-02-05 07:16:47,1,236,75,5.0
1,2019-02-08 22:40:56,2019-02-08 22:51:07,1,107,186,8.0
2,2019-02-22 10:38:41,2019-02-22 10:47:17,1,114,231,7.0
2,2019-02-08 22:47:26,2019-02-08 23:00:50,5,249,79,10.0
1,2019-02-27 16:03:27,2019-02-27 17:05:32,2,132,125,52.0
1,2019-02-22 23:25:46,2019-02-22 23:28:08,1,151,238,4.0
2,2019-02-24 14:58:08,2019-02-24 15:08:23,1,236,239,9.0
2,2019-02-11 13:28:35,2019-02-11 13:47:43,2,100,237,14.0
2,2019-02-16 21:50:59,2019-02-16 22:31:36,1,132,143,52.0
1,2019-02-19 22:04:21,2019-02-19 22:11:27,1,143,50,6.5
1,2019-02-18 13:00:48,2019-02-18 13:25:05,2,100,144,16.0
2,2019-02-05 07:35:04,2019-02-05 07:47:29,4,50,163,9.5
2,2019-02-20 17:28:35,2019-02-20 17:44:36,1,238,163,12.0
2,2019-02-13 16:03:44,2019-02-13 16:52:17,2,132,164,52.0
1,2019-02-26 18:24:52,2019-02-26 18:45:52,1,249,48,14.0
2,2019-02-12 04:54:04,2019-02-12 04:58:28,1,186,186,5.0
4,2019-02-11 17:53:39,2019-02-11 18:05:44,1,68,125,10.0
2,2019-02-24 12:36:06,2019-02-24 13:06:31,6,132,262,52.0
2,2019-02-03 12:23:37,2019-02-03 12:37:34,1,90,144,10.5
2,2019-02-27 16:37:51,2019-02-27 16:49:57,5,138,129,9.5
1,2019-02-02 16:32:08,2019-02-02 16:50:02,2,246,239,16.0
2,2019-02-20 11:28:15,2019-02-20 11:48:37,1,163,141,13.0
2,2019-02-13 13:37:37,2019-02-13 13:52:03,3,143,237,11.0
2,2019-02-01 16:52:32,2019-02-01 16:57:36,1,236,262,5.0
2,2019-02-05 02:25:47,2019-02-05 02:37:34,2,26,133,9.5
1,2019-02-22 21:32:03,2019-02-22 21:44:48,1,237,233,10.0
2,2019-02-27 07:18:08,2019-02-27 07:30:28,1,158,163,11.0
1,2019-02-27 13:39:14,2019-02-27 13:39:47,1,168,168,2.5
2,2019-02-01 14:44:11,2019-02-01 14:56:15,1,90,163,9.5
2,2019-02-21 10:32:37,2019-02-21 10:39:48,1,87,45,6.5
1,2019-02-27 13:32:40,2019-02-27 13:59:11,1,264,162,30.0
2,2019-02-25 08:23:52,2019-02-25 08:54:33,1,50,261,23.0
2,2019-02-07 09:03:53,2019-02-07 09:43:57,1,239,170,23.5
1,2019-02-09 21:50:32,2019-02-09 22:05:07,2,143,90,12.5
1,2019-02-10 12:59:42,2019-02-10 13:04:19,4,43,238,6.0
2,2019-02-10 15:21:50,2019-02-10 15:31:46,1,113,224,8.0
1,2019-02-19 10:48:20,2019-02-19 11:19:13,1,236,164,20.0
2,2019-02-06 17:06:01,2019-02-06 17:13:46,0,238,41,7.5
1,2019-02-20 16:44:59,2019-02-20 16:59:50,0,161,161,10.0
2,2019-02-03 13:31:11,2019-02-03 13:34:10,0,142,142,4.0
1,2019-02-15 20:21:08,2019-02-15 20:40:42,0,161,160,20.5
1,2019-02-02 18:33:42,2019-02-02 18:46:41,0,211,232,9.5
1,2019-02-11 13:46:52,2019-02-11 14:17:10,0,141,186,18.5
2,2019-02-15 21:26:27,2019-02-15 21:38:13,0,146,202,9.5
1,2019-02-15 11:09:54,2019-02-15 11:12:58,0,163,230,4.0
2,2019-02-03 15:22:41,2019-02-03 15:24:51,0,236,236,3.5
1,2019-02-02 14:47:56,2019-02-02 15:02:58,0,113,4,10.5
2,2019-02-11 09:30:11,2019-02-11 09:53:54,1,163,132,52.0
1,2019-02-21 10:04:00,2019-02-21 10:19:36,0,48,161,10.5
1,2019-02-24 11:58:16,2019-02-24 12:23:03,0,238,223,28.0
2,2019-02-19 11:52:42,2019-02-19 11:57:06,1,237,163,4.5
2,2019-02-18 19:20:17,2019-02-18 19:35:25,5,144,256,13.0
1,2019-02-25 19:33:30,2019-02-25 19:47:42,1,170,262,11.5
2,2019-02-22 07:29:13,2019-02-22 07:48:46,2,125,237,16.0
2,2019-02-06 14:53:17,2019-02-06 14:59:53,6,237,237,6.0
2,2019-02-15 20:41:15,2019-02-15 20:51:35,1,234,229,9.0
1,2019-02-03 08:34:38,2019-02-03 08:38:30,1,234,137,5.0
2,2019-02-19 11:28:54,2019-02-19 11:41:55,1,163,100,9.0
1,2019-02-24 11:20:39,2019-02-24 11:27:21,2,68,246,7.0
2,2019-02-24 09:25:51,2019-02-24 09:34:01,1,107,186,8.0
2,2019-02-12 13:59:37,2019-02-12 14:31:01,1,229,138,27.5
1,2019-02-03 18:24:51,2019-02-03 18:35:58,1,141,238,9.0
1,2019-02-17 00:03:45,2019-02-17 00:09:01,1,114,249,6.0
2,2019-02-27 01:51:12,2019-02-27 01:55:57,1,162,234,6.5
2,2019-02-11 16:01:04,2019-02-11 16:11:08,1,236,237,8.5
2,2019-02-25 16:11:24,2019-02-25 16:22:31,1,237,43,9.0
1,2019-02-28 13:06:15,2019-02-28 13:57:37,2,90,62,40.0
2,2019-02-10 05:23:03,2019-02-10 05:24:21,2,50,142,3.0
2,2019-02-02 12:04:15,2019-02-02 12:44:01,2,237,132,52.0
1,2019-02-10 10:53:31,2019-02-10 10:53:35,1,114,114,2.5
2,2019-02-02 09:14:17,2019-02-02 09:18:27,6,143,239,5.0
2,2019-02-01 11:01:04,2019-02-01 11:06:48,1,68,68,5.5
2,2019-02-05 21:38:05,2019-02-05 21:44:09,1,148,79,6.0
2,2019-02-07 22:15:34,2019-02-07 22:29:11,6,162,146,12.5
1,2019-02-20 14:35:23,2019-02-20 14:58:50,1,132,15,42.5
1,2019-02-25 10:13:47,2019-02-25 10:20:22,1,142,163,6.5
2,2019-02-23 11:04:07,2019-02-23 11:19:35,1,234,232,13.0
2,2019-02-23 15:13:43,2019-02-23 15:25:09,1,137,145,10.0
1,2019-02-28 06:56:53,2019-02-28 07:21:02,1,141,87,30.0
2,2019-02-05 09:26:00,2019-02-05 09:34:16,5,79,137,7.5
1,2019-02-28 20:38:20,2019-02-28 20:50:51,2,158,87,10.0
2,2019-02-08 09:22:07,2019-02-08 09:50:08,1,231,230,17.5
1,2019-02-17 01:53:54,2019-02-17 02:00:10,1,230,100,6.0
1,2019-02-11 11:03:53,2019-02-11 11:38:07,2,170,143,21.0
2,2019-02-03 11:41:15,2019-02-03 11:57:40,1,107,138,26.5
2,2019-02-08 20:50:40,2019-02-08 21:02:48,1,79,249,9.0
2,2019-02-18 14:40:38,2019-02-18 15:38:47,2,132,230,52.0
2,2019-02-20 19:09:45,2019-02-20 19:10:41,1,237,236,3.0
2,2019-02-15 17:11:05,2019-02-15 17:15:43,1,234,107,5.0
1,2019-02-09 22:08:37,2019-02-09 22:15:04,1,48,142,6.0
2,2019-02-02 21:20:32,2019-02-02 21:42:34,3,249,229,16.0
2,2019-02-24 11:20:58,2019-02-24 11:30:39,4,229,100,8.0
1,2019-02-21 11:23:04,2019-02-21 11:33:19,1,140,229,8.0
1,2019-02-11 21:53:21,2019-02-11 22:06:45,1,170,249,11.0
2,2019-02-10 14:35:37,2019-02-10 14:42:37,2,43,164,7.0
1,2019-02-28 18:12:23,2019-02-28 18:19:14,1,68,90,6.0
1,2019-02-10 15:47:07,2019-02-10 16:11:49,1,138,255,23.0
2,2019-02-13 10:57:03,2019-02-13 11:21:46,1,114,233,16.0
2,2019-02-03 17:40:20,2019-02-03 18:05:12,2,48,79,17.5
2,2019-02-02 15:53:05,2019-02-02 16:03:23,1,164,237,8.5
2,2019-02-03 20:19:14,2019-02-03 20:22:51,1,146,7,5.0
2,2019-02-20 23:02:09,2019-02-20 23:14:43,1,186,229,10.5
1,2019-02-06 23:09:06,2019-02-06 23:18:55,1,114,107,8.5
1,2019-02-27 21:26:29,2019-02-27 21:39:51,2,68,137,10.0
1,2019-02-23 23:35:05,2019-02-23 23:51:41,1,234,229,13.0
1,2019-02-14 19:39:03,2019-02-14 19:56:56,0,162,87,17.5
2,2019-02-13 09:55:04,2019-02-13 10:26:11,3,140,137,18.5
2,2019-02-19 09:34:48,2019-02-19 09:56:15,2,233,114,14.5
1,2019-02-19 16:36:00,2019-02-19 16:55:50,4,164,48,12.5
2,2019-02-26 10:39:33,2019-02-26 11:31:04,6,138,90,38.0
1,2019-02-05 13:45:06,2019-02-05 13:52:14,1,237,237,6.0
2,2019-02-06 18:51:32,2019-02-06 19:13:13,1,262,237,15.0
4,2019-02-25 14:50:24,2019-02-25 14:55:25,1,237,141,5.0
2,2019-02-11 10:29:48,2019-02-11 10:41:47,1,237,141,8.5
2,2019-02-10 06:16:44,2019-02-10 06:27:37,1,162,107,10.0
2,2019-02-09 20:57:53,2019-02-09 21:15:43,5,249,170,13.0
2,2019-02-04 08:25:34,2019-02-04 08:33:08,1,162,164,6.5
1,2019-02-21 13:23:31,2019-02-21 13:27:45,1,170,233,4.5
2,2019-02-27 13:45:29,2019-02-27 14:13:10,1,100,138,30.5
2,2019-02-23 01:13:42,2019-02-23 01:13:45,1,186,186,64.0
2,2019-02-04 16:18:38,2019-02-04 16:36:12,1,234,144,12.5
1,2019-02-01 15:56:50,2019-02-01 16:10:42,1,246,113,10.0
2,2019-02-12 07:12:39,2019-02-12 07:33:29,2,170,231,17.5
2,2019-02-08 17:54:20,2019-02-08 17:56:40,1,166,24,4.0
2,2019-02-17 10:59:07,2019-02-17 11:21:14,2,43,125,19.0
2,2019-02-05 20:37:57,2019-02-05 20:44:29,2,161,163,6.0
2,2019-02-07 10:33:04,2019-02-07 10:42:35,6,186,100,7.5
2,2019-02-26 17:28:09,2019-02-26 17:45:52,1,161,236,13.0
2,2019-02-13 16:54:41,2019-02-13 16:59:43,5,79,224,6.0
1,2019-02-06 09:02:20,2019-02-06 09:27:14,1,107,13,17.0
2,2019-02-09 19:07:28,2019-02-09 19:16:18,1,186,161,8.0
1,2019-02-07 09:58:14,2019-02-07 10:17:22,1,68,170,13.0
2,2019-02-23 11:35:08,2019-02-23 11:48:58,2,237,237,11.5
1,2019-02-22 15:59:59,2019-02-22 16:02:11,3,236,263,3.5
1,2019-02-09 11:21:25,2019-02-09 11:31:44,1,161,238,10.0
4,2019-02-15 21:17:34,2019-02-15 21:30:41,1,234,48,10.0
2,2019-02-23 12:46:57,2019-02-23 12:49:05,1,239,239,3.5
2,2019-02-05 15:53:36,2019-02-05 16:35:35,1,132,236,52.0
1,2019-02-22 07:38:15,2019-02-22 07:52:10,1,88,170,16.5
2,2019-02-09 14:32:10,2019-02-09 14:57:20,1,132,265,31.5
2,2019-02-10 11:21:01,2019-02-10 11:39:08,1,239,249,14.5
2,2019-02-08 10:01:21,2019-02-08 10:15:22,2,143,161,10.5
2,2019-02-06 09:03:31,2019-02-06 09:07:17,1,249,234,4.5
2,2019-02-07 16:49:43,2019-02-07 16:52:53,1,140,263,4.5
1,2019-02-12 21:46:38,2019-02-12 21:53:48,1,114,148,6.5
1,2019-02-06 17:56:37,2019-02-06 18:02:23,1,141,237,5.5
1,2019-02-23 08:03:10,2019-02-23 08:13:12,1,230,263,10.5
2,2019-02-17 18:29:09,2019-02-17 18:35:51,1,237,142,6.5
2,2019-02-04 09:38:01,2019-02-04 10:05:49,1,48,140,18.5
1,2019-02-21 14:34:54,2019-02-21 14:58:44,1,161,48,14.5
1,2019-02-27 17:27:03,2019-02-27 17:40:08,1,141,74,11.5
2,2019-02-16 18:40:38,2019-02-16 19:17:12,1,88,230,25.5
2,2019-02-22 17:48:23,2019-02-22 17:52:59,3,236,236,5.0
1,2019-02-22 01:25:43,2019-02-22 01:37:30,1,88,195,14.0
1,2019-02-23 18:58:18,2019-02-23 19:14:19,0,138,145,20.5
1,2019-02-15 07:48:15,2019-02-15 08:11:35,1,181,113,19.0
